Song,Hot100 Rank,Hot100 Ranking Year,is_local,num_of_song_avaliable_markets
('Till) I Kissed You,20,1959,FALSE,185
Said Sum,98,2020,FALSE,184
Up,26,2021,FALSE,185
I Take It Back,88,2009,FALSE,185
Daydream,38,1966,FALSE,185
Love Me,39,2013,FALSE,183
Iâ€™m a Mess (with YUNGBLUD),18,2022,FALSE,183
Blue Ridge Mountains,86,2008,FALSE,141
Coming Home,38,2011,FALSE,181
Nice & Slow - Radio Version,9,1998,FALSE,185
The Happiest Girl In The Whole U.S.A.,55,1986,FALSE,184
Moonglow and Theme from Picnic,11,1991,FALSE,185
More Today Than Yesterday,50,2010,FALSE,169
The Naughty Lady of Shady Lane,27,1955,FALSE,185
I'm The Only One,44,1995,FALSE,184
My First Kiss (feat. Ke$ha),73,2010,FALSE,153
Loyal (feat. Lil Wayne & Tyga),30,2014,FALSE,185
Back To Back,99,2015,FALSE,170
Be Careful,59,2018,FALSE,184
Never Keeping Secrets,67,1994,FALSE,185
Billie Jean,2,2008,FALSE,185
Take Good Care Of Her,61,2005,FALSE,185
Power of Love / Love Power,47,1991,FALSE,185
Closer to Free,67,1996,FALSE,2
Giving You The Benefit,65,1990,FALSE,184
Big Girls Don't Cry (Personal),78,2008,FALSE,3
Poison,91,1989,FALSE,185
Caramel,72,2002,FALSE,182
Pretend,13,1954,FALSE,184
Your Love Is,53,2020,FALSE,184
"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)",56,2008,FALSE,175
You Needed Me,63,1978,FALSE,184
It's Like That,69,2005,FALSE,3
The Motown Song (with The Temptations),99,1991,FALSE,184
What in the World's Come Over You - Remastered 1990,14,2011,FALSE,183
Smoke! Smoke! Smoke! (That Cigarette),4,1960,FALSE,183
Not Afraid,24,2010,FALSE,184
That's What Love Can Do - Radio Mix,70,1993,FALSE,0
Ransom,28,2019,FALSE,179
The Box,3,2020,FALSE,185
"For the Love of You, Pts. 1 & 2",81,2001,FALSE,185
Nice For What,11,2018,FALSE,180
Boogie Woogie Bugle Boy,71,1973,FALSE,184
He Loves You Not,28,2022,FALSE,180
I Keep Forgettin' (Every Time You're Near),81,1982,FALSE,184
DÃ©jÃ  Vu (Uptown Baby),36,2019,FALSE,185
Send For Me,40,1991,FALSE,184
The Horse,21,2008,FALSE,185
Good Luck Charm,20,2022,FALSE,185
Diana,24,1966,FALSE,185
Waiting On the World to Change,47,2007,FALSE,185
you broke me first,37,2021,FALSE,0
All I Have to Do Is Dream,2,1964,FALSE,171
"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",20,1991,FALSE,185
Blueberry Hill,48,1959,FALSE,182
Battlefield,57,2009,FALSE,48
Take My Breath - Single Version,89,2023,FALSE,95
Need to Know,18,2022,FALSE,185
Kokomo,42,2003,FALSE,184
Just Like Jesse James,77,1990,FALSE,184
Drop It Like It's Hot,23,2005,FALSE,184
Only God Knows Why,67,2000,FALSE,184
When It's Over - David Kahne Main,46,2001,FALSE,184
Because - 2019 - Remaster,64,1964,FALSE,0
Paper Roses,41,1974,FALSE,185
Color Him Father,65,1969,FALSE,185
Down Yonder,24,2009,FALSE,185
Sha-La-La (Make Me Happy),82,1975,FALSE,185
Birthday Cake,79,2012,FALSE,174
Cherish,59,2009,FALSE,145
Dance Ballerina Dance,10,1949,FALSE,185
Cara Mia,24,1965,FALSE,184
Time After Time,17,1984,FALSE,185
"A Little Bit Me, a Little Bit You",60,2001,FALSE,173
24/7,92,2000,FALSE,155
"1,2,3 Red Light",48,1968,FALSE,185
Starboy,58,2016,FALSE,184
Love Somebody,51,2013,FALSE,2
Not Over You,60,2012,FALSE,184
Speed of Sound,57,2005,FALSE,185
Beauty And A Beat,42,2013,FALSE,180
Fireflies,60,2009,FALSE,176
So Gone,39,2003,FALSE,185
You And Me Against The World,57,1987,FALSE,183
Shortie Like Mine (feat. Chris Brown & JohntÃ¡ Austin),54,2007,FALSE,185
If It Makes You Happy,55,1997,FALSE,3
If I Ain't Got You,3,2004,FALSE,185
Back in Blood (feat. Lil Durk),39,2021,FALSE,185
Sideshow,19,1974,FALSE,184
I Do (Cherish You),68,1999,FALSE,184
Sad Movies Make Me Cry,20,2011,FALSE,185
Kiss and Say Goodbye,6,1976,FALSE,185
LoveGame,35,2009,FALSE,184
People Are Crazy,93,2009,FALSE,137
I Wanna Dance with Somebody (Who Loves Me),4,1987,FALSE,185
Jesus Walks,43,2004,FALSE,184
Tiger,41,1959,FALSE,185
That's The Way I've Always Heard It Should Be,47,1971,FALSE,183
Goodbye Baby,79,1990,FALSE,2
Southern Nights,22,1977,FALSE,184
Swearin' to God - Single Version,99,2003,FALSE,184
A Million To One,55,2006,FALSE,185
Young Girl,15,1968,FALSE,185
Hello Walls,45,2000,FALSE,183
Turn the Beat Around,38,1976,FALSE,185
Why I Love You So Much,46,1996,FALSE,185
"Let Me Go, Lover",19,1955,FALSE,36
Cross Over The Bridge,14,1960,FALSE,184
On The Dark Side,94,1984,FALSE,2
Danny's Song,36,1973,FALSE,184
Love Hurts,23,1976,FALSE,2
Let's Go (feat. Ne-Yo),65,2012,FALSE,172
Bad Girls,44,2019,FALSE,164
Rock with You - Single Version,4,1980,FALSE,185
Monkey - Remastered,45,1988,FALSE,185
Because the Night - Live Unplugged,40,1994,FALSE,184
Dear One,79,2012,FALSE,185
I Want Her,74,2004,FALSE,184
The One That Got Away,41,2012,FALSE,3
Back for Good - Radio Mix,95,1996,FALSE,185
