Song,Hot100 Rank,Hot100 Ranking Year
Oh Sheila,31,1985
I Hope You’re Happy Now,73,2020
So Into You,38,2000
Ironic - 2015 Remaster,13,1996
Funky Cold Medina,65,1989
Over You,73,1968
The Thing,15,1950
Change the World,19,1999
One Man Band,59,2020
I Remember Holding You,85,1989
No Diggity,42,1996
Your Body,74,2005
Fireflies,30,2010
Undo It,88,2010
Mean Woman Blues,53,2011
Life's Song,17,2021
Wipe Out - Hit Version / Extended Ending,55,2008
Soul Survivor,52,2005
For the First Time,66,2011
Lucy In The Sky With Diamonds,35,1975
Time of the Season - Mono Version,39,1969
careless,27,2022
April Love,45,1993
All For You,76,1998
"I'd Do Anything For Love (But I Won't Do That) - Live From The Hudson Theatre, United States / 1993 / Remastered 2006",36,2021
Groove Me,77,1971
It's Gonna Work Out Fine,65,1963
It's Impossible,100,1971
Hey Baby (Drop It to the Floor) (feat. T-Pain),39,2011
All Star,17,1999
If I Could Turn Back Time,69,2002
Every Woman in the World,27,1981
If U Seek Amy,74,2009
You're Makin' Me High,9,1996
San Francisco (Be Sure to Wear Some Flowers In Your Hair),48,1967
Time Of Our Lives - Radio Edit,39,2015
Take It Away - Remixed 2015,70,1982
The Cry of the Wild Goose,30,1961
Goldfinger,51,1988
(I've Been) Searchin' So Long,73,2018
Blow Me (One Last Kiss) [Pink],37,2012
Dance Monkey,14,2020
So Tired,22,1959
He's Mine,40,1995
When I'm Gone,5,2003
Diamonds,79,1987
Dilemma,4,2002
Get Down On It - Single Version,82,2018
All This Time,92,1991
Hey Jude - Remastered 2015,1,2000
I Don’t Care,16,2023
no tears left to cry,20,2018
Ice Ice Baby,45,2008
Don't Let Me Down,8,2016
Ain't It Fun,13,2013
The Heart Of Rock And Roll,44,1984
Try Again,85,1983
Brave,96,2013
Ain’t No Sunshine - Lido Remix,23,2015
I Won't Hold You Back,69,1983
He's Got The Whole World In His Hands,18,2012
Why,24,2008
I Want To Come Over,79,1996
No Such Thing,42,2002
Home,49,2012
A Very Special Love Song,89,1974
Crazy,68,1994
Bad Romance,8,2010
Rainy Night in Georgia,37,1970
Waiting for Tonight,99,2000
Rather Be (feat. Jess Glynne),41,2014
(I Love You) For Sentimental Reasons,35,1954
Before The Next Teardrop Falls,4,1975
Baby I'm Yours,40,1993
Long Tall Glasses (I Can Dance) - Remastered,90,1975
The Old Lamp-Lighter,27,2000
Down,20,2009
Big Energy,7,2022
One Fine Day,73,1980
Penny Lover,96,1985
Helen Wheels,91,2001
Patricia,5,1998
Keep On Smilin',66,1974
Boogie Wonderland,57,1979
Kind of a Drag,16,2015
Devil Inside,46,1988
Soul Man,19,1967
i'm yours sped up,20,2022
Into You,51,2016
Lost In Love,15,1980
Hot Boyz,32,2000
Everytime I Think Of You - 2022 Remaster,89,1981
King for a Day,96,1986
"Say You, Say Me",2,1986
Bad Boys (Theme from COPS),69,2010
Winning,84,1981
Cleanin' Out My Closet,47,2002
Breakfast At Tiffany's,39,1996
Pick Up the Pieces,21,1975
I Wanna Be Your Lover,95,1980
Feels So Right,77,1981
Drops of Jupiter (Tell Me),4,2001
Disturbia,16,2008
Love Is Blue - Remastered,2,2018
I Get the Bag (feat. Migos),72,2018
Like I'm Gonna Lose You (feat. John Legend),42,2016
We Paid,57,2021
Slow Jamz,16,2004
Along Comes Mary,94,1966
I Don't Mind (feat. Juicy J),55,2015
Chasing After You,61,2021
Things I'd Like to Say (A Tribute to New Colony Six),70,2012
Jumpman,37,2016
How Will I Know,6,1986
Back At One,82,1999
"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",18,2004
Young Dumb & Broke,67,2018
Escape,57,2002
"Blaze Of Glory - From ""Young Guns II"" Soundtrack",10,1990
Keep On Truckin',35,1973
It's Just a Matter of Time - Rerecorded,27,2009
Cotton Eye Joe,93,1995
Incense And Peppermints,23,1967
If You Wanna Be Happy,29,2012
Rocket 2 U,68,2001
Motownphilly,11,1991
Tell Me,58,1996
No More Lonely Nights (Ballad) - Remastered 1993,72,1985
I Write the Songs,13,1976
Rubber Ball,89,1961
Make It Hot (feat. Missy Elliott & Mocha),41,1998
(You're The) Devil in Disguise (In the Style of Elvis Presley) [Karaoke Version],58,2013
Alley Cat,37,2020
Dirt Off Your Shoulder,21,2004
Hay,93,1996
Chattanoogie Shoe Shine Boy - 1949 Single Version,8,1991
Give It To You,63,1999
Can't Get Enough of Your Love (In the Style of Taylor Dayne) [Karaoke Version],99,2013
Rock 'n' Roll Fantasy - 2009 Remaster,54,1979
Knockin' Boots,79,2020
Love Is Here And Now You're Gone,26,1967
Snap Yo Fingers,24,2006
Sorry,71,2016
Same Guy (feat. Adam Levine),100,2020
Motivation,53,2011
God's Plan,1,2018
Looking For A New Love - Radio Edit,16,2000
Only in My Dreams,26,1987
Unchained Melody,21,1955
I Will Survive - Single Version,6,2000
Wolves,60,2018
Body Bumpin' (Yippie-Yi-Yo),24,1998
Crying in the Rain,47,1962
New Moon on Monday - 2010 Remaster,95,1984
The Valley Road,78,1988
Party Like A Rock Star,14,2007
Don't Tell 'Em,42,2015
"Chi-Baba, Chi-Baba (My Bambino Go To Sleep)",12,2010
Stay,80,2023
If It Isn't Love,67,1988
Frankenstein,16,1973
Piece of My Heart,96,1968
Full Moon,89,2002
Get Low featuring Ying Yang Twins,11,2011
Can't You See,66,2022
Little Lies - 2017 Remaster,51,1987
Beautiful,42,2003
Pride And Joy - Album Version / Mono,61,1963
Shakedown,9,2003
"Get Down, Get Down (Get on the Floor) (Rercorded)",76,2002
Mood Swings (feat. Lil Tjay),81,2020
Letters from Home,99,2004
Feel So Close - Radio Edit,42,2012
Cruel Summer,73,1984
I’m Yours,7,2023
The Writing On The Wall,83,2005
Simple,82,2019
Right Here Waiting,11,1989
Secret Love,9,1954
Wasted On You,19,2022
Jumper - 1998 Edit,40,1999
Photograph,34,2023
You and Me,48,1977
(There's) No Gettin' Over Me,33,1981
Beach Baby,94,1999
Sweet Child O' Mine,5,1988
Without You,37,1961
Mama Didn't Lie,66,1997
Timber (feat. Ke$ha),11,2014
Got To Get You Into My Life - Remastered 2009,78,1976
"Oh, Pretty Woman",4,1964
Rock Me Amadeus,28,1986
"When You're Hot, You're Hot",74,1995
Deuces (feat. Tyga & Kevin McCall),68,2011
When the Lights Go Out - Radio Edit,38,1998
The Way I Are - Timbaland vs. Nephew featuring Keri Hilson & D.O.E,96,2008
"Gypsys, Tramps & Thieves",39,1971
Number One Spot,99,2005
The Wayward Wind,5,2015
Right Here Right Now,17,1991
Elevators (Me & You),59,1996
Michael (Row The Boat Ashore),3,2007
I Don't Wanna Live Without Your Love,48,1988
I Write Sins Not Tragedies,20,2006
If You're Not The One,60,2003
Take These Chains From My Heart,81,2009
Robbery,100,2019
Don't - Originally performed by Bryson Tiller,35,2016
Bohemian Rhapsody - Remastered 2011,18,1976
Guilty (Duet with Barry Gibb),29,1989
I'm Already There - In the Style of Lonestar (Karaoke Version Teaching Vocal),73,2010
Lose Control (feat. Ciara & Fat Man Scoop),14,2005
Brave,74,2014
Congratulations,10,2017
Feel Good Inc.,97,2006
She Wants To Dance With Me,88,1989
Without Me,21,2002
This Is Why I'm Hot,16,2007
Dancing Machine,5,1974
I Got 5 On It,36,1995
Beautiful Day,75,2001
Magic (feat. Rivers Cuomo),63,2010
Smack That,15,2007
Black Widow,26,2014
What Was I Thinkin',87,2003
Speechless,35,2019
With You,50,2004
All I Wanna Do Is Make Love To You,16,1990
Adventure of a Lifetime,95,2016
Get Into It (Yuh),68,2022
Right Above It,90,2010
A Tear Fell,49,1956
Say Something,17,2019
Wicked,97,2016
"What'd I Say, Pt. 1 & 2 - 2005 Mono Remaster",50,2005
Tequila,32,2018
Toxic,48,2004
Counting Blue Cars (Tell Me Your Thoughts On God),28,1996
I'll Be There For You - (Karaoke Version ) [In The Style Of Bon Jovi],23,2010
Heartaches By The Number,15,1995
"Up, Up and Away",47,1967
She Drives Me Crazy,18,1989
More Stars (Abba Medley) - Original Single Version,24,1984
All Falls Down,47,2004
Crash and Burn,78,2000
Funkdafied,37,1994
Hot Rod Lincoln,69,1972
Slow Motion,64,2015
(Oh) Pretty Woman - 2015 Remaster,88,1982
The Warrior (feat. Patty Smyth),46,1984
A Groovy Kind of Love - Remastered,20,2015
House Of The Rising Sun,60,2018
Where Do Broken Hearts Go,33,1988
Cherry Bomb,92,1988
Yesterday's Songs,77,1982
Lean on Me,7,1972
Good Girls Go Bad (feat. Leighton Meester),43,2009
I'm Too Sexy (As Made Famous by Right Said Fred),13,2011
Heat Of The Night,84,1987
Something So Strong,83,1987
Hangin' Tough,49,1989
This Is How We Roll,49,2014
Lovers And Friends,25,2005
New Sensation,65,1988
Sweet Nothin's,18,1960
An Innocent Man,72,1984
Beer Never Broke My Heart,63,2019
Serenade Of The Bells,35,1953
Keep Coming Back,92,1997
Goody Two Shoes,51,1983
Who Says,60,2009
I Got The Hook-Up!,67,2005
Love Shack,47,1989
Hit Me With Your Best Shot,46,1981
I know (You Don't Love Me No More),42,1994
Indiana Wants Me - Commercial Version,54,2008
"Green, Green",99,1963
Love Will Conquer All,97,1986
MAMIII,59,2022
Disco Lady,3,1976
Things A Man Oughta Know,96,2021
You Belong to Me,59,1978
Tonight You Belong To Me,26,2012
Weekend in New England,65,1977
Memories Are Made Of This,9,1964
Sealed With A Kiss,29,1993
All You Wanted,23,2002
Stuck With You,21,1986
Tonight Tonight,32,2011
I Hope,12,2020
Jacob's Ladder,41,1987
Hold My Hand,22,1995
Fire,31,1975
Clean up Woman,49,1972
Let Me In,8,1999
Bad Habit,28,2022
September Morn,90,1980
Little White Lies,7,1955
The World I Know,41,1996
Here I Am (Come And Take Me),72,2000
Maneater,7,1983
I Wanna Get Next To You,87,1977
Raise Your Glass,17,2013
Cheerleader - Felix Jaehn Remix Radio Edit,11,2015
No One Is To Blame,44,1986
Bitch Better Have My Money,48,2015
Oh No,69,1982
What About Us - Live,84,2020
Mr. Roboto,28,1983
Troglodyte (Cave Man),80,1972
That's the Way It Is,28,2000
Anticipation,72,1972
Daydream Believer,61,2000
Sing a Song,59,1976
Shut Up And Drive,90,2008
Don't Stop - Live 1977,52,1977
What Will My Mary Say,65,2004
Time Will Reveal,84,1984
The Name Game,35,1965
Cruisin',13,1980
Misty Blue,19,1976
Teen-Age Crush,33,2011
Days of Wine and Roses,37,1963
Message to Michael,69,1989
Endless Sleep,41,1958
The Air That I Breathe - 2008 Remaster,50,1974
Can't Stop the Feeling - Tribute Justin Timberlake,49,2017
Then,84,2009
Lightnin' Strikes,17,2018
Special Lady,42,1996
High Fashion (feat. Mustard),40,2020
Angie,85,1973
Cool It Now,26,1985
All I Wanna Do,34,1994
Put Your Head on My Shoulder,66,1975
Gonna Make You Sweat (Everybody Dance Now) - Clivilless & Cole DJ's Choice Mix,3,1991
Rock Your Body,32,2003
Jungle Boogie,12,1974
Linger,49,1994
Lonely (with benny blanco) - Acoustic,65,2021
Adult Education,70,1984
The Pied Piper,63,1966
Love Machine - Pt. 1,7,1994
The One That You Love,28,1981
My Guy,7,1964
Play That Funky Music,5,1976
Don't Think I'm Not - Karaoke Version in the style of Kandi,86,2010
I Don't Want to Be,58,2005
Something To Believe In - Remastered,78,1991
Pump Up The Jam,13,1990
The Way You Love Me,27,2001
Somebody to Love,33,1967
Use Me,78,1972
New Kid in Town - 2013 Remaster,59,1977
Reminiscing - Remastered 2022,65,1978
You're No Good,51,2023
The Shelter of Your Arms,80,1964
You Right,45,2022
Anything,43,1996
Take Your Time (Do It Right),37,1998
You Do,28,1999
Shame On The Moon,14,1983
Don't Let Me Get Me (Originally Performed By Pink) - Karaoke Backing Track,36,2012
The Happening,29,2008
Hands To Myself,56,2016
I'm Just an Old Chunk of Coal (But I'm Gonna Be a Diamond Someday),87,1981
In the Closet,66,1992
All Summer Long,85,2008
All To Myself,97,2019
Faithfully,81,1983
"Heaven Is A Place On Earth - Promo 7"" Edit",7,1988
Shake It,32,2008
Disco Nights (Rock Freak) - Single Remix,76,1979
Bang!,56,2021
Against The Wind,51,1980
Touch It,73,2006
Real Love,46,1989
More (with Mitchell Ayres and His Orchestra & The Ray Charles Singers) - Remastered,39,1993
We're An American Band - Remastered 2002,23,1973
Say It,45,1998
Catch My Breath,68,2013
Maps,29,2014
Come To My Window,43,1994
Thank You (Falettinme Be Mice Elf Agin) - Single Version,19,1970
Papa's Got A Brand New Bag,33,1991
Jerk Out #3,93,1990
Cold Hearted,6,1989
MONTERO (Call Me By Your Name),9,2021
I'm Still Standing (Karaoke Version) [In the Style of Elton John],74,2011
Bennie And The Jets - Remastered 2014,9,1974
Save Your Tears (with Ariana Grande) (Remix),40,2022
Get Your Shine On,94,2013
Year of the Cat,92,1977
Memories,8,2021
Georgy Girl,57,1989
Learnin' The Blues,14,1996
Instant Karma! (We All Shine On) - Remastered 2010,34,2010
Sensitivity,29,1991
XO Tour Llif3,13,2017
For the Love of Money,75,1974
Moonlight Feels Right,34,1976
Up The Ladder To The Roof,88,1970
Ruby,14,1981
Come with Me Now,88,2014
You Won't See Me,54,1974
How You Remind Me,1,2002
Wild Weekend,16,1993
I Can't Wait Another Minute,60,1991
I've Got to Use My Imagination,41,1974
Time,50,1996
Love Train,32,1973
Scorpio,43,1972
I Heard It Through The Grapevine,88,1969
What You Want (feat. Total),31,1998
The Space Between,65,2001
Classic,50,2014
Meet Virginia,70,2000
Name,24,1996
Never Let You Go - 2008 Remaster,43,2000
I Went To Your Wedding,8,1960
Wings Of A Dove,38,2010
Ayo - Tribute to Tyga and Chris Brown,86,2015
Just a Little,56,1965
Hotel Room Service,46,2009
Backseat (feat. The Cataracs & Dev),84,2011
Throw It In The Bag,71,2009
ME! (feat. Brendon Urie of Panic! At The Disco),43,2019
Sweet Baby,78,1981
Ahab The Arab,61,1995
Can't Nobody Hold Me Down (feat. Mase),5,1997
Disturbia,77,2009
Lose My Breath,58,2004
Renegade,67,1979
No Hands (feat. Roscoe Dash & Wale),45,2011
Stand Back,44,1991
Beg Your Pardon,28,2011
Down By the Station,60,2007
Five Minutes More,4,1993
"Brown Sugar - Live At The Jazz Cafe, London/1995",86,1998
Looking Back,31,1965
Oh! What It Seemed to Be,6,1964
Welcome to the Black Parade,59,2007
Hello Stranger,34,1963
Escape (The Pina Colada Song),11,1980
It's Your Love (Originally Performed by Tim Mcgraw with Faith Hill) [Karaoke Version],40,2013
The Door Is Still Open to My Heart,78,2014
Crazy Little Thing Called Love - Remastered 2011,6,1980
i'm yours,26,2022
Dark Horse,2,2014
I Go to Pieces,75,2001
"Mirror, Mirror",86,1982
Things That Make You Go Hmmmm.... (feat. Freedom Williams),51,1991
"Closer ( Originally Performed by The Chainsmokers , Halsey ) - Karaoke Version",7,2017
You're The One That I Want (Originally Performed by John Travolta & Olivia Newton-John) - Karaoke Version,13,2015
Wild Thing,33,1989
"Don’t Worry, Be Happy",37,2021
Time Passages,79,1979
Club Can't Handle Me (feat. David Guetta),40,2010
Spill The Wine,20,1970
Trampoline,53,2020
Enjoy Yourself,40,1977
Angel Of The Morning,25,1981
Radioactive,57,2014
For What It's Worth,27,1967
Perfect World - Single Edit,64,2006
If You Asked Me To,28,1992
Finesse - Remix; feat. Cardi B,14,2018
Give A Little Bit,78,1977
Also Sprach Zarathustra,90,1977
Forever Your Girl,30,1989
If Not For You - Remastered 2022,76,2022
Pocketful of Sunshine,18,2008
What are We Doin' in Love (Duet) [Originally Performed by Dottie West & Kenny Rogers] {Karaoke Version},55,2016
You Belong With Me (Taylor’s Version),57,2021
Thunder,22,2018
I Love The Nightlife (Disco 'Round),88,1978
If You Go,23,2001
Don't Tell Me (As Made Famous by Madonna),34,2011
I'll Never Fall in Love Again (Originally Performed By Tom Jones) - Karaoke Version,8,2015
Insensitive,22,1996
I Don't Like To Sleep Alone,73,1975
You've Got Your Troubles (Rerecorded),84,2010
Too Good,29,2016
Botch-A-Me (Ba-Ba-Baciami Piccina),16,1952
Ole Buttermilk Sky,21,2022
Candida,18,1970
I'll Be Over You,99,1986
How Am I Supposed to Live Without You,12,1990
Then The Morning Comes,48,2000
How Soon,34,2000
Bubbly,67,2007
Little Bit O' Soul (Originally Performed by Music Explosion) [Karaoke Version],11,2015
Stir It Up,91,1973
Low Life (feat. The Weeknd),30,2016
Lay Me Down,81,2015
My Girl Bill,90,1974
Better Days (And the Bottom Drops Out),96,1999
Pretty Girl Rock,70,2011
"thank u, next",12,2019
Like a Virgin,2,1985
Troublemaker (feat. Flo Rida),82,2013
Change of Heart,61,1987
You Know You Like It,59,2021
We Run The Night,90,2012
Harden My Heart,13,1982
Our Day Will Come,33,1963
25 or 6 to 4 - 2002 Remaster,61,1970
Let Me Go,38,2012
Run It! (feat. Juelz Santana),42,2005
Step In the Name of Love - Remix,94,2003
Teardrops On My Guitar - Radio Single Remix,48,2008
Be With You,37,2000
Why Do Fools Fall In Love?,28,2017
Shake You Down,3,1987
Wildfire,40,1982
As I Lay Me Down,39,1995
Amazed,85,1999
My Happiness,39,2005
Nothin',37,2002
Temptation (Tim-Tayshun),12,2007
"Theme From ""The Apartment""",53,2009
"Shake, Rattle And Roll",26,1955
It's Now Or Never,82,1981
Part Of Me,31,2012
Hungry,91,1966
Crazy,36,2001
Oh Very Young,70,1974
Kiss Kiss (feat. T-Pain),93,2007
She Will Be Loved - Radio Mix,61,2005
Romeo & Juliet,48,2020
Can't Stop (Originally Performed by After 7) [Karaoke Version],60,2016
Believe,59,1995
Waiting On A Friend - Remastered 2009,94,1982
It's All Coming Back to Me Now,18,1996
Back Then,92,2005
I Just Want To Be Your Everything,2,1977
Rhiannon,77,1976
Black Horse And The Cherry Tree,57,2006
Dancing Queen,12,1977
Easy Loving (Originally Performed by Freddie Hart) [Karaoke Version],68,2016
Me & U,14,2006
Funny Face,83,1998
Mama's Broken Heart,89,2013
One More Night - 2016 Remaster,33,1985
Boogie Oogie Oogie - Remastered 2004,9,1978
Kookie Kookie (Lend Me Your Comb),37,2005
Obsessed,41,2009
Dazzey Duks,16,1993
Bad At Love,27,2018
U Remind Me,15,2001
Need You Now,2,2010
Do What I Want,84,2016
Neutron Dance,38,1985
Player's Anthem,72,1995
Funky Worm,84,1973
Dreamin',86,1960
Nobody Knows,4,1996
Tema de Tracy,81,2013
Best Song Ever,74,2013
"Bad, Bad Leroy Brown",2,1973
Love Touch (Theme from Legal Eagles),82,1986
Sh-Boom,4,1996
Chick-a-Boom (Don't Ya Jes' Love It),34,2014
Come Dancing,63,1983
How Deep Is Your Love,71,1998
Wipe Out - Hit Version / Extended Ending,14,2008
Juicy,87,2020
One Track Mind,75,1961
"That Lady, Pts. 1 & 2",21,1973
Understanding,58,1994
Bohemian Rhapsody - Remastered 2011,39,1992
The Rhythm of the Night,54,1995
Damn I Wish I Was Your Lover,34,1992
Nobody (feat. Athena Cage),16,1997
How Do You Sleep? - Radio Edit Remix,86,2009
It's Still Rock and Roll to Me,9,1980
Constantly,80,1995
If Ever You're in My Arms Again,47,2005
Wanted,92,2013
Rock Wit'cha,95,1989
Young Turks - 2008 Remaster,48,2008
Get Like Me,66,2008
Higher Love,88,1988
Cruisin' Down the Highway,11,1974
Miss You,8,2003
I'm On Fire,95,1984
I'm Not In Love,43,2023
Private Dancer - 2015 Remaster,93,1985
The Whole World (feat. Killer Mike),70,2002
Wifey - Club Mix/Dirty Version,53,2000
Rich Girl,31,2005
One Too Many,81,2021
"Keep On, Keepin' On (feat. Xscape)",77,1996
Everyday Is A Winding Road,60,1997
My Cup Runneth Over,46,2001
If You Love Me (Let Me Know),32,1974
Love Like This,58,1999
We're All Alone,98,1978
Funky Broadway,73,1967
Alfie,44,1967
Throat Baby (Go Baby) (with DaBaby & City Girls) - Remix,97,2021
Get Down Tonight - 2004 Remaster,65,1975
Lullaby,46,1999
Have You Never Been Mellow,37,1975
Dance with Me,89,2000
Anniversary,97,1997
Don't Mess With Bill (Originally Performed By the Marvelettes) - Karaoke Version,67,2015
Dreamtime,94,1986
Cross My Broken Heart,90,2001
Who Can It Be Now?,30,1982
Get Ur Freak On,35,2001
Black And White,63,1993
Gimme the Light,74,2022
Running With The Night - Single Version,53,1992
Love Letters In The Sand - Single Version,2,1993
High Noon (Do Not Forsake Me),19,1955
Shangri-La,92,2014
The Twelfth Of Never,99,1973
Fly Like an Eagle,79,1997
It Was A Good Day,78,1993
"Tonight My Love, Tonight",85,2000
Do It ('Til You're Satisfied),80,1975
Back 2 Good,49,1999
O Dio Mio,88,1960
(How Much Is That) Doggie In The Window,3,1960
Gimme Gimme Good Lovin',89,1969
Hazy Shade of Winter,35,1990
Rockin' Roll Baby,96,1974
Starting All Over Again,38,2008
Drowning (feat. Kodak Black),81,2017
Eyes On You,96,2019
Trippin',60,1999
Diva,82,2009
Quarter To Three,31,1998
Nasty Freestyle,50,2015
WAIT FOR U (feat. Drake & Tems),11,2022
Takin' Care Of Business,63,1974
Team,18,2014
We Be Burnin',81,2006
Thank You,94,1995
Hero (feat. Josey Scott),25,2003
Crying,40,1981
Broccoli,34,2016
Shoo-Be-Doo-Be-Doo-Da-Day,75,1968
Stay With Me,10,2014
Yellow River,83,1970
Hey Nineteen,72,1981
Show and Tell - Rerecorded,15,2009
Ghetto Cowboy,87,2022
Country Grammar (Hot Shit),29,2000
Come Go With Me,18,1997
It Only Hurts for a Little While,48,1956
Stressed Out,5,2016
You Are So Beautiful,67,1975
Come And Get It - Remastered 2010,48,1970
Starboy,20,2017
Say Hey (I Love You) (feat. Cherine Tanya Anderson),97,2009
Hemorrhage (In My Hands),100,2001
Come Undone,41,1993
The Way I Live - Main Explicit,53,2007
Every Day of the Week,74,1995
My Love Is Like...Wo,64,2003
Wake Me Up,19,2013
Big S**t Poppin' [Do It],75,2007
Wish You Were Here,7,2010
50 Ways to Leave Your Lover,8,1976
Suddenly,52,1985
Still Not a Player (feat. Joe) - Radio Version,85,1998
Day After Day - Remastered 2010,39,1972
Fake Love,37,2017
"Sugar, We're Goin Down",40,2005
Flying Without Wings,88,2003
The Wanderer,12,1962
Vacation,87,1982
"Oh, What It Seemed To Be",10,1993
Carpenters Medley: Sing! / Close to You / We've Only Just Begun / Top of the World / For All We Know,59,2018
In The Rain,53,2007
My Sacrifice,20,2002
Don't Let The Stars Get In Your Eyes,9,1975
Blow,33,2011
Believe,1,1999
Work from Home (feat. Ty Dolla $ign),16,2016
Laughing,96,1971
Heart to Heart,72,1983
Candy Girl,39,2003
Watch Me (Whip / Nae Nae),8,2015
Lead Me On,24,2004
Leave (Get Out),40,2004
Thnks fr th Mmrs,37,2007
Burnin' It Down,63,2014
Groove Is in the Heart,91,1991
A Woman's Worth (Live From Allianz Parque Sao Paulo Brazil),51,2023
Hold On,52,1995
Thugz Mansion - 7 Remix,80,2003
Modern Girl,95,1981
Gotta Travel On,53,1998
A Little in Love - 1987 Remaster,61,1981
How Deep Is Your Love - Calvin Harris & R3hab Remix,100,2015
See You Again (feat. Charlie Puth),99,2016
The Boss,84,2008
Tired of Waiting for You,60,1965
Photograph,43,2005
All Cried Out (feat. 112) - Behind the scenes Video,84,1998
Lady Luck,82,1994
Borderline,35,2009
Honky Tonk Pt. 1,21,1975
Breaking the Habit,79,2004
Love's Been A Little Bit Hard On Me,47,1982
Miss Sun,99,1981
Gimme Some Lovin' - Single Mix,68,1967
"Slow Down - 12"" Version",47,2005
Tears on My Pillow,34,2005
Slow Hand,19,1981
Causing a Commotion,46,1987
Do You Remember? - 2016 Remaster,53,1990
Harper Valley P.T.A.,11,2013
Keep On Movin',100,1989
Kick The Dust Up,87,2015
Show Stopper,79,2006
Tie Me Down (feat. Ray J),65,2010
Don’t Get Me Wrong (In the Style of Pretenders),92,2011
Gloria,71,1966
Baby Don't Forget My Number,28,1989
Forever,71,2010
You and Tequila (feat. Grace Potter),98,2011
Almost Persuaded,65,1966
Wide Awake,15,2012
Let It Go,65,2007
Heartless,28,2020
You Make Me Wanna...,14,1997
Go Home,100,1986
The Girl Is Mine (with Paul McCartney),49,1995
I Live My Life for You,91,1996
I Think They Like Me - Remix,85,2006
Where Is The Love?,26,2003
Puppy Love,67,1972
LOVE. FEAT. ZACARI.,50,2018
Bad Habits,15,2021
At Seventeen - Remastered,20,1975
Cruising Down the River,7,1966
Far Away,53,2006
Stand Up,45,2004
Cry Baby,43,1963
Twist And Shout,38,2005
Unsteady,67,2016
Put A Little Love In Your Heart,46,1969
B-A-B-Y,29,1966
Quiet Village - Original Mono Version,18,1959
Something About The Way You Look Tonight - Edit Version,1,1997
Until You Come Back to Me (That's What I'm Gonna Do),11,1974
Head Over Heels,88,1990
Do It Again,73,1973
Don't Sleep in the Subway (Originally Performed By Petula Clark) - Karaoke Version,99,2015
My Boyfriend's Back,9,1998
Air Force Ones,40,2003
Secretly,19,1990
Colder Weather,99,2011
Malibu,89,2017
Hold You Tight,25,1991
Swang,64,2017
What About Us?,65,2002
Heard It All Before,64,2001
Runaway,84,1996
Tell It to My Heart,38,1989
I'll Make Love To You,50,1995
Black Velvet,18,1990
Beat Box,44,2021
Don't Worry (Originally Performed by Marty Robbins) [Karaoke Version],28,2016
One Sweet Day (As Made Famous by Mariah Carey and Boyz II Men),2,2011
Theme From S.W.A.T.,29,1976
The Way I Are - Timbaland vs. Nephew featuring Keri Hilson & D.O.E,18,2007
One On One,39,1983
How Do You Do?,25,2014
My Prerogative,2,1989
We Don't Need Another Hero (Thunderdome),57,1985
Beautiful Sunday,42,2013
Love Potion No. 9,70,1965
Don't You Care,39,1967
Say You'll Be There,28,1997
Sorry (I Ran All The Way Home),24,2005
I’ll Never Fall in Love Again,95,2023
Stagger Lee,13,1959
679 (feat. Remy Boyz),54,2016
Joy,71,1972
Honey,3,1968
Alejandro,33,2010
It Ain't Over 'Til It's Over,35,1991
"Night Fever - From ""Saturday Night Fever"" Soundtrack",2,2020
Sugar (feat. Wynter),58,2009
Crush On You,52,1998
Ghost,93,2015
Make Your Own Kind Of Music,55,1973
Time Won't Let Me,32,1991
Breakdown Dead Ahead,97,1997
Ghostbusters,9,2016
Party In The U.S.A.,29,2009
These Boots Are Made for Walkin',6,2021
Sure Thing,92,2011
Glamorous,10,2007
"Runaway Child, Running Wild",57,2005
Head to Toe,17,1987
Land of Confusion - 2007 Remaster,40,1987
Every 1's a Winner - Single Version,55,1979
Don't Say Nothin' Bad (About My Baby),68,2018
Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,62,2002
"Not Tonight (feat. Da Brat, Left Eye, Missy ""Misdemeanor"" Elliott and Angie Martinez) - Remix",46,1997
Yellow Bird,47,1961
She Likes It (feat. Jake Scott),91,2022
Laurie (Strange Things Happen),71,2015
Water Under the Bridge,88,2017
Livin' On A Prayer,10,1987
Don't Cry (In the Style of Asia) [Karaoke Version],98,2015
What Goes Around.../...Comes Around (Interlude),22,2007
Get Back,77,2005
Cut the Cake - Single Edit,71,1975
What Kind of Fool (Do You Think I Am),77,2013
Sailing,32,1980
True Love Ways,82,2001
Venus,38,1986
How Can We Be Lovers,52,1990
OMG (feat. will.i.am),5,2010
Overkill,54,1983
Genie In a Bottle,7,1999
Obsession,56,1996
Like a Stone,96,2003
Room Full of Roses,17,1974
The Kind of Love We Make,36,2022
Smooth Criminal - 2012 Remaster,93,2012
Here Without You,62,2003
I'm Coming Out,98,1981
"Who Put the Bomp (In the Bomp, Bomp, Bomp)",32,1961
Too Late To Turn Back Now,34,1996
Heart Of Glass,18,1979
What's On Tonight,76,1997
Turn the Beat Around,87,1995
Too Much,9,2022
I Need A Doctor,51,2011
Hard To Forget,69,2020
Every Morning,8,1999
Here We Go Again,80,2004
Lean On,85,2016
Royals,20,2014
The Twist,10,2020
Roses,27,2016
The Right Kind of Love,68,1993
With You,9,2008
One More Night,38,2013
