Song,Hot100 Rank,Hot100 Ranking Year
Shortie Like Mine (feat. Chris Brown & Johntá Austin),54,2007
If It Makes You Happy,55,1997
If I Ain't Got You,3,2004
Back in Blood (feat. Lil Durk),39,2021
Sideshow,19,1974
I Do (Cherish You),68,1999
Sad Movies Make Me Cry,20,2011
Kiss and Say Goodbye,6,1976
LoveGame,35,2009
People Are Crazy,93,2009
I Wanna Dance with Somebody (Who Loves Me),4,1987
Jesus Walks,43,2004
Tiger,41,1959
That's The Way I've Always Heard It Should Be,47,1971
Goodbye Baby,79,1990
Southern Nights,22,1977
Swearin' to God - Single Version,99,2003
A Million To One,55,2006
Young Girl,15,1968
Hello Walls,45,2000
Turn the Beat Around,38,1976
Why I Love You So Much,46,1996
"Let Me Go, Lover",19,1955
Cross Over The Bridge,14,1960
On The Dark Side,94,1984
Danny's Song,36,1973
Love Hurts,23,1976
Let's Go (feat. Ne-Yo),65,2012
Bad Girls,44,2019
Rock with You - Single Version,4,1980
Monkey - Remastered,45,1988
Because the Night - Live Unplugged,40,1994
Dear One,79,2012
I Want Her,74,2004
The One That Got Away,41,2012
Back for Good - Radio Mix,95,1996
Thinkin' Bout It,98,2010
"Love Me Like You Do - From ""Fifty Shades Of Grey""",13,2015
Really Really,92,2016
On The Street Where You Live,35,2012
Feel like Makin' Love - 2015 Remaster,68,1975
Bitter Sweet Symphony,79,1998
Bridge Over Troubled Water,1,1970
Macarena - Bayside Boys Remix,82,2001
Rise,54,1980
Slow Motion,13,2004
American Kids,73,2014
Case Of The Ex (Whatcha Gonna Do),40,2001
Bent,9,2000
We Don't Talk Anymore (feat. Selena Gomez),50,2016
Hitchin' A Ride,14,2011
You Might Think,65,1984
If the World Was Ending (feat. Julia Michaels),56,2021
The Story of Nanette: Nanette / Alabama Song / Drinkin' Again / Mr. Rockefeller / Do You Wanna Dance - Live,76,1977
Rompe,74,2006
I'll Dance at Your Wedding,31,2003
When (Originally Performed By The Kalin Twins) [Full Vocal Version],43,2013
Daddy Don't You Walk So Fast,10,1994
The Woo (feat. 50 Cent & Roddy Ricch),78,2020
It Don't Come Easy,43,1973
Sorry,44,2008
Girls Like You (feat. Cardi B) - Cardi B Version,10,2018
I Wanna Be Around...,55,1963
Oh How Happy,78,1987
Kiss Me Thru The Phone,19,2009
The Wonder of You,3,2007
Things,62,1962
Crazy,7,2006
Baby Boy (feat. Sean Paul),12,2003
Jump (For My Love),18,1984
Don't Stop Till You Get Enough (Karaoke in the style of Michael Jackson),91,2009
The Last Time - Mono Version,88,1965
Can't Hold Us Down (feat. Lil' Kim),67,2003
American Honey,94,2010
Adore You,6,2020
Just A Kiss,42,2011
Scar Tissue,34,1999
Peg,62,1978
Dancing With A Stranger,14,2022
Hey There,3,1977
I Remember You,72,1990
I Wanna Love You Forever,56,2000
Give Your Heart a Break,39,2012
This Is How We Do It,10,1995
